date,return_transaction_id,user_id,sku,product_name,size,colour,parent_order_number,region
2024-10-05,RET00000200,USER000838,LM-SOK-006,Muscle Soak Salts,200ml,Unscented,TXN00001147,EU
2024-10-05,RET00000358,USER001526,LM-SPF-002,SPF 50 Face Stick,50ml,Citrus Energy,TXN00002086,EU
2024-10-06,RET00000085,USER000380,LM-SPF-002,SPF 50 Face Stick,200ml,Lavender Calm,TXN00000511,EU
2024-10-06,RET00000139,USER000607,LM-ROL-012,Aromatherapy Roller,200ml,Lavender Calm,TXN00000836,EU
2024-10-06,RET00000194,USER000805,LM-SPF-002,SPF 50 Face Stick,50ml,Citrus Energy,TXN00001102,EU
2024-10-06,RET00000404,USER001723,LM-KIT-009,PMS Comfort Kit,100ml,Rose Comfort,TXN00002346,NA
2024-10-06,RET00000443,USER001900,LM-JRN-011,Movement Journal,50ml,Rose Comfort,TXN00002603,EU
2024-10-07,RET00000299,USER001291,LM-MST-005,Cooling Mist Spray,50ml,Citrus Energy,TXN00001760,NA
2024-10-07,RET00000438,USER001871,LM-SPF-002,SPF 50 Face Stick,50ml,Lavender Calm,TXN00002565,NA
2024-10-07,RET00000446,USER001911,LM-SOK-006,Muscle Soak Salts,Standard,Eucalyptus Fresh,TXN00002616,EU
2024-10-08,RET00000187,USER000784,LM-DEO-001,Clean Deodorant Stick,Standard,Lavender Calm,TXN00001072,EU
2024-10-08,RET00000209,USER000906,LM-OIL-008,Warming Body Oil,100ml,Citrus Energy,TXN00001237,EU
2024-10-08,RET00000573,USER002494,LM-OIL-008,Warming Body Oil,Standard,Citrus Energy,TXN00003449,NA
2024-10-09,RET00000122,USER000538,LM-SPF-002,SPF 50 Face Stick,50ml,Citrus Energy,TXN00000738,EU
2024-10-09,RET00000287,USER001232,LM-MST-005,Cooling Mist Spray,100ml,Lavender Calm,TXN00001688,EU
2024-10-09,RET00000308,USER001310,LM-CLO-003,Cleansing Body Cloths,Travel Size,Lavender Calm,TXN00001787,NA
2024-10-09,RET00000405,USER001724,LM-CLO-003,Cleansing Body Cloths,Standard,Citrus Energy,TXN00002348,NA
2024-10-09,RET00000409,USER001744,LM-MST-005,Cooling Mist Spray,Travel Size,Rose Comfort,TXN00002376,NA
2024-10-09,RET00000498,USER002141,LM-CAN-010,Ritual Grounding Candle,50ml,Lavender Calm,TXN00002961,NA
2024-10-10,RET00000300,USER001293,LM-KIT-009,PMS Comfort Kit,Travel Size,Citrus Energy,TXN00001762,NA
2024-10-10,RET00000428,USER001819,LM-CLO-003,Cleansing Body Cloths,50ml,Lavender Calm,TXN00002485,EU
2024-10-10,RET00000485,USER002074,LM-CAN-010,Ritual Grounding Candle,Travel Size,Unscented,TXN00002866,NA
2024-10-11,RET00000036,USER000181,LM-JRN-011,Movement Journal,Standard,Lavender Calm,TXN00000242,NA
2024-10-11,RET00000063,USER000275,LM-DEO-001,Clean Deodorant Stick,Travel Size,Eucalyptus Fresh,TXN00000369,NA
2024-10-11,RET00000156,USER000663,LM-OIL-008,Warming Body Oil,50ml,Citrus Energy,TXN00000913,NA
2024-10-11,RET00000241,USER001035,LM-KIT-009,PMS Comfort Kit,50ml,Lavender Calm,TXN00001414,NA
2024-10-11,RET00000266,USER001133,LM-KIT-009,PMS Comfort Kit,100ml,Lavender Calm,TXN00001555,NA
2024-10-11,RET00000326,USER001378,LM-SOK-006,Muscle Soak Salts,Standard,Lavender Calm,TXN00001881,EU
2024-10-11,RET00000552,USER002402,LM-CAN-010,Ritual Grounding Candle,50ml,Lavender Calm,TXN00003326,EU
2024-10-12,RET00000028,USER000144,LM-MAG-004,Magnesium Recovery Balm,200ml,Citrus Energy,TXN00000191,EU
2024-10-12,RET00000131,USER000583,LM-CLO-003,Cleansing Body Cloths,100ml,Rose Comfort,TXN00000799,NA
2024-10-12,RET00000184,USER000776,LM-OIL-008,Warming Body Oil,200ml,Lavender Calm,TXN00001060,EU
2024-10-12,RET00000271,USER001167,LM-KIT-009,PMS Comfort Kit,100ml,Lavender Calm,TXN00001600,EU
2024-10-12,RET00000371,USER001568,LM-JRN-011,Movement Journal,Standard,Citrus Energy,TXN00002147,NA
2024-10-12,RET00000374,USER001576,LM-OIL-008,Warming Body Oil,Standard,Unscented,TXN00002157,EU
2024-10-12,RET00000563,USER002467,LM-JRN-011,Movement Journal,200ml,Lavender Calm,TXN00003411,EU
2024-10-13,RET00000002,USER000005,LM-OIL-008,Warming Body Oil,50ml,Eucalyptus Fresh,TXN00000009,EU
2024-10-13,RET00000037,USER000202,LM-MAG-004,Magnesium Recovery Balm,100ml,Eucalyptus Fresh,TXN00000266,NA
2024-10-13,RET00000060,USER000261,LM-WSH-007,Adaptogen Body Wash,200ml,Citrus Energy,TXN00000351,NA
2024-10-13,RET00000100,USER000449,LM-DEO-001,Clean Deodorant Stick,100ml,Citrus Energy,TXN00000609,NA
2024-10-13,RET00000183,USER000773,LM-WSH-007,Adaptogen Body Wash,Standard,Citrus Energy,TXN00001056,NA
2024-10-14,RET00000162,USER000696,LM-WSH-007,Adaptogen Body Wash,Standard,Eucalyptus Fresh,TXN00000954,EU
2024-10-14,RET00000224,USER000967,LM-CLO-003,Cleansing Body Cloths,50ml,Rose Comfort,TXN00001321,NA
2024-10-14,RET00000327,USER001385,LM-MST-005,Cooling Mist Spray,50ml,Rose Comfort,TXN00001890,NA
2024-10-14,RET00000484,USER002064,LM-MST-005,Cooling Mist Spray,200ml,Unscented,TXN00002850,EU
2024-10-15,RET00000176,USER000748,LM-DEO-001,Clean Deodorant Stick,100ml,Citrus Energy,TXN00001023,EU
2024-10-15,RET00000336,USER001422,LM-DEO-001,Clean Deodorant Stick,Standard,Rose Comfort,TXN00001946,EU
2024-10-15,RET00000350,USER001481,LM-WSH-007,Adaptogen Body Wash,Travel Size,Eucalyptus Fresh,TXN00002026,NA
2024-10-15,RET00000396,USER001663,LM-JRN-011,Movement Journal,100ml,Lavender Calm,TXN00002274,EU
2024-10-15,RET00000449,USER001924,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Rose Comfort,TXN00002635,NA
2024-10-15,RET00000482,USER002055,LM-JRN-011,Movement Journal,200ml,Citrus Energy,TXN00002834,EU
2024-10-15,RET00000566,USER002474,LM-MST-005,Cooling Mist Spray,50ml,Rose Comfort,TXN00003422,EU
2024-10-16,RET00000050,USER000231,LM-ROL-012,Aromatherapy Roller,200ml,Unscented,TXN00000305,EU
2024-10-16,RET00000111,USER000498,LM-DEO-001,Clean Deodorant Stick,100ml,Unscented,TXN00000677,NA
2024-10-16,RET00000365,USER001555,LM-MAG-004,Magnesium Recovery Balm,Standard,Citrus Energy,TXN00002126,NA
2024-10-16,RET00000379,USER001597,LM-OIL-008,Warming Body Oil,50ml,Lavender Calm,TXN00002184,EU
2024-10-16,RET00000472,USER002002,LM-CLO-003,Cleansing Body Cloths,Travel Size,Unscented,TXN00002752,NA
2024-10-17,RET00000057,USER000255,LM-CAN-010,Ritual Grounding Candle,100ml,Citrus Energy,TXN00000341,NA
2024-10-17,RET00000151,USER000652,LM-ROL-012,Aromatherapy Roller,Travel Size,Unscented,TXN00000898,NA
2024-10-17,RET00000175,USER000747,LM-SPF-002,SPF 50 Face Stick,Standard,Citrus Energy,TXN00001021,NA
2024-10-17,RET00000268,USER001150,LM-MAG-004,Magnesium Recovery Balm,200ml,Unscented,TXN00001578,EU
2024-10-17,RET00000408,USER001743,LM-WSH-007,Adaptogen Body Wash,200ml,Unscented,TXN00002373,NA
2024-10-17,RET00000448,USER001923,LM-SPF-002,SPF 50 Face Stick,100ml,Lavender Calm,TXN00002633,EU
2024-10-17,RET00000455,USER001944,LM-CLO-003,Cleansing Body Cloths,100ml,Lavender Calm,TXN00002662,EU
