date,transaction_id,user_id,sku,product_name,size,color,amount,region
2024-10-01,TXN00000443,USER000331,LM-JRN-011,Movement Journal,50ml,Unscented,24,NA
2024-10-01,TXN00000633,USER000466,LM-OIL-008,Warming Body Oil,50ml,Rose Comfort,48,EU
2024-10-01,TXN00000903,USER000655,LM-CLO-003,Cleansing Body Cloths,100ml,Lavender Calm,18,NA
2024-10-01,TXN00000934,USER000678,LM-JRN-011,Movement Journal,Travel Size,Lavender Calm,24,NA
2024-10-01,TXN00001507,USER001101,LM-JRN-011,Movement Journal,100ml,Eucalyptus Fresh,24,EU
2024-10-01,TXN00001754,USER001287,LM-SOK-006,Muscle Soak Salts,50ml,Rose Comfort,32,EU
2024-10-01,TXN00001808,USER001327,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Unscented,42,EU
2024-10-01,TXN00001898,USER001391,LM-ROL-012,Aromatherapy Roller,50ml,Unscented,22,EU
2024-10-01,TXN00002014,USER001473,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Lavender Calm,42,EU
2024-10-01,TXN00002216,USER001620,LM-OIL-008,Warming Body Oil,50ml,Citrus Energy,48,EU
2024-10-01,TXN00002346,USER001723,LM-KIT-009,PMS Comfort Kit,100ml,Rose Comfort,65,NA
2024-10-01,TXN00002379,USER001746,LM-WSH-007,Adaptogen Body Wash,100ml,Unscented,36,EU
2024-10-01,TXN00002793,USER002028,LM-ROL-012,Aromatherapy Roller,200ml,Rose Comfort,22,EU
2024-10-01,TXN00003394,USER002452,LM-SPF-002,SPF 50 Face Stick,Travel Size,Unscented,28,EU
2024-10-02,TXN00000375,USER000279,LM-OIL-008,Warming Body Oil,Standard,Lavender Calm,48,NA
2024-10-02,TXN00000511,USER000380,LM-SPF-002,SPF 50 Face Stick,200ml,Lavender Calm,28,EU
2024-10-02,TXN00000705,USER000517,LM-ROL-012,Aromatherapy Roller,50ml,Lavender Calm,22,EU
2024-10-02,TXN00000836,USER000607,LM-ROL-012,Aromatherapy Roller,200ml,Lavender Calm,22,EU
